Country,Month,Year,Events,Fatalities
Libya,January,1997,1,8
Libya,February,1997,0,0
Libya,March,1997,0,0
Libya,April,1997,0,0
Libya,May,1997,0,0
Libya,June,1997,0,0
Libya,July,1997,1,1
Libya,August,1997,0,0
Libya,September,1997,0,0
Libya,October,1997,0,0
Libya,November,1997,0,0
Libya,December,1997,0,0
Libya,January,1998,0,0
Libya,February,1998,0,0
Libya,March,1998,0,0
Libya,April,1998,2,1
Libya,May,1998,0,0
Libya,June,1998,1,0
Libya,July,1998,0,0
Libya,August,1998,0,0
Libya,September,1998,0,0
Libya,October,1998,1,0
Libya,November,1998,0,0
Libya,December,1998,0,0
Libya,January,1999,0,0
Libya,February,1999,0,0
Libya,March,1999,0,0
Libya,April,1999,0,0
Libya,May,1999,0,0
Libya,June,1999,0,0
Libya,July,1999,0,0
Libya,August,1999,0,0
Libya,September,1999,0,0
Libya,October,1999,0,0
Libya,November,1999,0,0
Libya,December,1999,0,0
Libya,January,2000,1,2
Libya,February,2000,0,0
Libya,March,2000,0,0
Libya,April,2000,0,0
Libya,May,2000,0,0
Libya,June,2000,0,0
Libya,July,2000,1,0
Libya,August,2000,0,0
Libya,September,2000,1,0
Libya,October,2000,0,0
Libya,November,2000,0,0
Libya,December,2000,0,0
Libya,January,2001,0,0
Libya,February,2001,0,0
Libya,March,2001,0,0
Libya,April,2001,0,0
Libya,May,2001,0,0
Libya,June,2001,0,0
Libya,July,2001,0,0
Libya,August,2001,0,0
Libya,September,2001,0,0
Libya,October,2001,0,0
Libya,November,2001,0,0
Libya,December,2001,0,0
Libya,January,2002,0,0
Libya,February,2002,0,0
Libya,March,2002,0,0
Libya,April,2002,1,0
Libya,May,2002,0,0
Libya,June,2002,0,0
Libya,July,2002,0,0
Libya,August,2002,1,0
Libya,September,2002,1,0
Libya,October,2002,0,0
Libya,November,2002,0,0
Libya,December,2002,0,0
Libya,January,2003,0,0
Libya,February,2003,0,0
Libya,March,2003,0,0
Libya,April,2003,0,0
Libya,May,2003,0,0
Libya,June,2003,0,0
Libya,July,2003,0,0
Libya,August,2003,1,0
Libya,September,2003,1,0
Libya,October,2003,0,0
Libya,November,2003,0,0
Libya,December,2003,0,0
Libya,January,2004,0,0
Libya,February,2004,1,0
Libya,March,2004,3,0
Libya,April,2004,0,0
Libya,May,2004,1,0
Libya,June,2004,0,0
Libya,July,2004,0,0
Libya,August,2004,0,0
Libya,September,2004,0,0
Libya,October,2004,0,0
Libya,November,2004,0,0
Libya,December,2004,0,0
Libya,January,2005,0,0
Libya,February,2005,0,0
Libya,March,2005,0,0
Libya,April,2005,0,0
Libya,May,2005,1,0
Libya,June,2005,1,1
Libya,July,2005,0,0
Libya,August,2005,0,0
Libya,September,2005,0,0
Libya,October,2005,0,0
Libya,November,2005,0,0
Libya,December,2005,0,0
Libya,January,2006,0,0
Libya,February,2006,0,0
Libya,March,2006,0,0
Libya,April,2006,0,0
Libya,May,2006,0,0
Libya,June,2006,0,0
Libya,July,2006,0,0
Libya,August,2006,0,0
Libya,September,2006,0,0
Libya,October,2006,0,0
Libya,November,2006,0,0
Libya,December,2006,0,0
Libya,January,2007,0,0
Libya,February,2007,0,0
Libya,March,2007,0,0
Libya,April,2007,0,0
Libya,May,2007,0,0
Libya,June,2007,0,0
